freq,int_so2,int_water,int_deu
6354.0935,0.0002,0.0003,0.0003
6375.1578,0.0003,0.0007,0.0008
6390.5716,0.0000,0.0001,0.0001
6395.4473,0.0000,0.0001,0.0005
6395.7691,0.0001,0.0001,0.0001
6396.1029,0.0002,0.0002,0.0003
6396.1625,0.0002,0.0003,0.0003
6402.8382,0.0001,0.0004,0.0005
6405.2463,0.0000,0.0000,0.0001
6445.4198,0.0004,0.0013,0.0010
6445.7178,0.0004,0.0010,0.0008
6445.7297,0.0004,0.0010,0.0008
6458.8070,0.0000,0.0000,0.0000
6463.7065,0.0000,0.0002,0.0001
6465.5185,0.0001,0.0002,0.0002
6465.5304,0.0001,0.0002,0.0002
6470.9067,0.0000,0.0000,0.0000
6541.1448,0.0000,0.0000,0.0000
6557.9891,0.0000,0.0000,0.0000
6558.2037,0.0000,0.0001,0.0001
6565.2132,0.0001,0.0002,0.0002
6578.2428,0.0002,0.0006,0.0006
6601.5243,0.0000,0.0000,0.0000
6610.5604,0.0001,0.0002,0.0002
6626.6179,0.0000,0.0000,0.0004
6626.6298,0.0000,0.0000,0.0004
6661.0575,0.0000,0.0001,0.0001
6663.2628,0.0000,0.0001,0.0000
6677.4011,0.0000,0.0000,0.0000
6683.7668,0.0000,0.0042,0.0002
6685.3166,0.0001,0.0088,0.0004
6685.3285,0.0001,0.0092,0.0005
6691.1817,0.0002,0.0007,0.0005
6699.5859,0.0001,0.0004,0.0003
6704.5569,0.0000,0.0010,0.0000
6717.6223,0.0000,0.0000,0.0001
6717.6342,0.0000,0.0000,0.0001
6718.8144,0.0001,0.0002,0.0002
6720.4952,0.0006,0.0933,0.0047
6722.0449,0.0016,0.2354,0.0113
6737.1130,0.0002,0.0002,0.0002
6751.8949,0.0000,0.0000,0.0002
6753.4685,0.0000,0.0000,0.0000
6753.4804,0.0000,0.0000,0.0000
6753.6592,0.0000,0.0001,0.0001
6753.7189,0.0000,0.0001,0.0001
6753.7308,0.0000,0.0001,0.0001
6753.8500,0.0000,0.0001,0.0000
6753.8977,0.0000,0.0001,0.0000
6754.2672,0.0000,0.0000,0.0000
6754.3745,0.0002,0.0004,0.0003
