freq,int_so2,int_h2o,int_d2o
6249.8808,0.0001,0.0000,0.0001
6250.0000,0.0091,0.0054,0.0137
6250.1192,0.0001,0.0000,0.0001
6250.1550,0.0000,0.0000,0.0000
6250.2027,0.0000,0.0000,0.0000
6250.6795,0.0009,0.0000,0.0000
6251.7047,0.0002,0.0000,0.0000
6259.5367,0.0024,0.0002,0.0006
6283.4740,0.0000,0.0000,0.0001
6283.5932,0.0001,0.0000,0.0001
6283.7005,0.0000,0.0000,0.0000
6287.1218,0.0051,0.0000,0.0000
6287.1456,0.0047,0.0000,0.0000
6298.7447,0.0055,0.0000,0.0000
6300.7593,0.0005,0.0000,0.0001
6307.1847,0.0004,0.0000,0.0000
6314.7306,0.0001,0.0000,0.0000
6316.5188,0.0004,0.0001,0.0004
6316.5307,0.0004,0.0002,0.0004
6321.6209,0.0000,0.0000,0.0000
6321.6448,0.0000,0.0000,0.0000
6336.1049,0.0005,0.0001,0.0001
6337.4281,0.0011,0.0000,0.0001
6338.5010,0.0012,0.0000,0.0000
6349.7305,0.0000,0.0000,0.0000
6351.1610,0.0000,0.0000,0.0001
6362.3309,0.0011,0.0000,0.0001
6363.4276,0.0009,0.0000,0.0001
6364.1667,0.0003,0.0000,0.0000
6365.5972,0.0009,0.0001,0.0001
6370.8067,0.0000,0.0000,0.0000
6392.4670,0.0007,0.0001,0.0001
6395.6022,0.0059,0.0000,0.0001
6396.2698,0.0002,0.0000,0.0000
6396.3175,0.0001,0.0001,0.0001
6406.5218,0.0000,0.0000,0.0000
6410.0385,0.0001,0.0000,0.0000
6427.5861,0.0001,0.0000,0.0000
6429.0166,0.0015,0.0001,0.0001
6429.0285,0.0014,0.0001,0.0001
6429.4577,0.0017,0.0000,0.0004
6429.5173,0.0005,0.0000,0.0010
6439.9600,0.0000,0.0000,0.0000
6444.7522,0.0005,0.0000,0.0000
6446.3377,0.0001,0.0000,0.0000
6455.7910,0.0001,0.0000,0.0000
6456.5182,0.0001,0.0001,0.0001
6458.1275,0.0000,0.0000,0.0000
6459.5818,0.0001,0.0000,0.0000
6467.1993,0.0000,0.0000,0.0000
6473.2790,0.0006,0.0000,0.0000
6476.1996,0.0018,0.0000,0.0000
6476.2354,0.0024,0.0000,0.0000
6480.4554,0.0001,0.0000,0.0000
6493.4492,0.0000,0.0000,0.0000
6514.0724,0.0002,0.0000,0.0000
6514.0843,0.0002,0.0000,0.0000
6527.7338,0.0002,0.0001,0.0001
6540.3581,0.0000,0.0000,0.0000
6558.8713,0.0002,0.0002,0.0001
6558.8832,0.0002,0.0002,0.0001
6561.1482,0.0002,0.0001,0.0001
6562.5072,0.0001,0.0001,0.0001
6564.4503,0.0000,0.0000,0.0002
6565.8927,0.0003,0.0002,0.0002
6577.9328,0.0001,0.0001,0.0000
6579.0296,0.0065,0.0000,0.0001
6585.2284,0.0001,0.0000,0.0000
6598.0554,0.0001,0.0000,0.0000
6600.2250,0.0014,0.0006,0.0004
6600.2369,0.0013,0.0006,0.0004
6601.7509,0.0003,0.0001,0.0001
6610.1790,0.0001,0.0000,0.0000
6620.6574,0.0014,0.0001,0.0001
6621.3608,0.0012,0.0001,0.0001
6627.0828,0.0001,0.0000,0.0000
6628.2749,0.0002,0.0001,0.0001
6628.2868,0.0002,0.0001,0.0001
6632.4711,0.0028,0.0005,0.0005
6632.4830,0.0028,0.0005,0.0006
6632.7095,0.0019,0.0006,0.0006
6642.9257,0.0004,0.0001,0.0001
6645.6556,0.0001,0.0000,0.0000
6646.1682,0.0001,0.0000,0.0000
6654.3698,0.0001,0.0000,0.0000
6654.3817,0.0001,0.0000,0.0000
6663.0006,0.0001,0.0000,0.0000
6677.3653,0.0000,0.0000,0.0000
6681.3350,0.0011,0.0001,0.0000
6681.6926,0.0011,0.0001,0.0001
6687.1047,0.0001,0.0000,0.0000
6702.3277,0.0001,0.0000,0.0000
6708.4193,0.0040,0.0010,0.0010
6717.7176,0.0003,0.0000,0.0000
6717.8726,0.0001,0.0000,0.0000
6720.6860,0.0002,0.0001,0.0001
6725.6689,0.0000,0.0000,0.0000
6725.6928,0.0000,0.0000,0.0000
6734.1328,0.0000,0.0000,0.0000
6756.5560,0.0000,0.0000,0.0000
6759.6316,0.0001,0.0000,0.0000
6760.8952,0.0001,0.0000,0.0000
6762.6834,0.0025,0.0000,0.0000
6769.1088,0.0002,0.0001,0.0000
6774.4732,0.0001,0.0000,0.0000
6774.4851,0.0001,0.0000,0.0000
6781.0535,0.0001,0.0000,0.0000
6781.0774,0.0001,0.0000,0.0000
6782.2218,0.0015,0.0000,0.0000
6782.2337,0.0014,0.0000,0.0000
6812.4414,0.0000,0.0000,0.0000
6816.3633,0.0003,0.0001,0.0001
6816.3753,0.0003,0.0001,0.0001
6829.1902,0.0001,0.0000,0.0000
6837.3918,0.0004,0.0001,0.0001
6841.9099,0.0001,0.0000,0.0000
6841.9337,0.0001,0.0000,0.0000
6844.3537,0.0001,0.0000,0.0000
6848.4306,0.0003,0.0001,0.0001
6860.1251,0.0002,0.0000,0.0000
6869.2803,0.0006,0.0001,0.0001
6889.0929,0.0000,0.0000,0.0000
6889.2837,0.0001,0.0001,0.0001
6894.5885,0.0001,0.0000,0.0000
6895.3037,0.0002,0.0001,0.0001
6895.9951,0.0001,0.0001,0.0000
6906.2591,0.0001,0.0000,0.0000
6906.7478,0.0060,0.0023,0.0021
6910.8129,0.0003,0.0001,0.0001
6910.8367,0.0003,0.0001,0.0001
6916.1654,0.0006,0.0002,0.0002
6916.1773,0.0006,0.0002,0.0002
6925.4756,0.0001,0.0000,0.0000
6931.0904,0.0000,0.0000,0.0000
6931.1738,0.0001,0.0000,0.0000
6931.1857,0.0000,0.0000,0.0000
6931.3288,0.0169,0.0086,0.0083
6931.4838,0.0001,0.0000,0.0000
6936.1210,0.0021,0.0004,0.0004
6936.1329,0.0021,0.0004,0.0004
6944.2749,0.0001,0.0000,0.0000
6944.2868,0.0001,0.0000,0.0000
6944.7160,0.0001,0.0000,0.0000
6946.7425,0.0021,0.0000,0.0000
6957.5667,0.0001,0.0000,0.0000
6957.5787,0.0001,0.0000,0.0000
6972.9686,0.0001,0.0001,0.0000
6973.2904,0.0000,0.0000,0.0000
6978.7860,0.0001,0.0000,0.0000
