freq,int_doh,int_d2o,cluster
6250.40000000,0.00006974,0.00003931,3
6250.45000000,0.00000000,0.00002415,1
6250.49166667,0.00005358,0.00002826,10
6250.54166667,0.00000000,0.00002498,1
6250.59166667,0.00002126,0.00001426,3
6250.64166667,0.00004156,0.00002845,3
6250.69166667,0.00000000,0.00001581,1
6250.73333333,0.00002706,0.00001398,2
6250.79166667,0.00002219,0.00003045,6
6250.88333333,0.00000000,0.00002183,1
6250.94166667,0.00002569,0.00001374,3
6250.98333333,0.00000000,0.00001638,1
6251.03333333,0.00001992,0.00000000,0
6251.08333333,0.00000000,0.00001283,1
6251.18333333,0.00002650,0.00001598,3
6251.28333333,0.00000000,0.00001494,1
6251.38333333,0.00000000,0.00001166,1
6251.48333333,0.00002663,0.00002249,5
6251.58333333,0.00002670,0.00002168,5
6251.73333333,0.00000000,0.00001327,1
6252.83333333,0.00002333,0.00000000,0
6254.99166667,0.00000000,0.00002766,1
6259.53333333,0.00014390,0.00005229,2
6259.76666667,0.00006296,0.00004986,5
6259.77500000,0.00006506,0.00004907,3
6260.00000000,0.00030845,0.00006064,4
6265.00000000,0.00003405,0.00000000,0
6267.55833333,0.00002174,0.00000000,0
6269.32500000,0.00083549,0.00048782,3
6269.33333333,0.00085489,0.00049046,3
6269.51666667,0.00002592,0.00003450,6
6269.53333333,0.00002443,0.00003652,7
6270.00000000,0.00013756,0.00013424,5
6275.00000000,0.00004034,0.00005540,6
6279.30000000,0.00000000,0.00002114,1
6280.00000000,0.00041449,0.00027342,3
6285.00000000,0.00003155,0.00002681,5
6289.06666667,0.00004901,0.00004508,5
6289.07500000,0.00004806,0.00004447,5
6290.00000000,0.00010313,0.00004245,2
6294.99166667,0.00002325,0.00001610,3
6297.08333333,0.00000000,0.00001607,1
6298.82500000,0.00012140,0.00008859,3
6298.83333333,0.00012282,0.00008962,3
6300.00000000,0.00491913,0.00296682,3
6305.00000000,0.00006631,0.00003323,2
6308.60833333,0.00005603,0.00005079,5
6310.00000000,0.00016685,0.00010083,3
6315.00000000,0.00002340,0.00000000,0
6315.41666667,0.00043391,0.00038736,5
6318.37500000,0.00000000,0.00001924,1
6320.00000000,0.00027127,0.00034949,6
6322.27500000,0.00000000,0.00001404,1
6323.22500000,0.00003667,0.00001283,2
6323.25000000,0.00004002,0.00000000,0
6325.00000000,0.00079028,0.00052396,3
6328.12500000,0.00003551,0.00005235,7
6329.70000000,0.00002153,0.00000000,0
6330.00000000,0.00007154,0.00013856,7
6332.68333333,0.00005752,0.00008305,6
6335.22500000,0.00009274,0.00013422,6
6336.86666667,0.00000000,0.00001389,1
6337.90000000,0.00006132,0.00005377,5
6340.00000000,0.00034421,0.00010082,4
6344.66666667,0.00020372,0.00010587,10
6345.00000000,0.00007285,0.00004602,3
6345.76666667,0.00000000,0.00002080,1
6347.66666667,0.00009966,0.00008044,5
6347.67500000,0.00009829,0.00007912,5
6349.27500000,0.00002320,0.00000000,0
6349.72500000,0.00000000,0.00002570,1
6349.83333333,0.00005833,0.00005137,5
6350.00000000,0.00283419,0.00276020,5
6350.19166667,0.00000000,0.00001164,1
6350.26666667,0.00002399,0.00001552,3
6350.29166667,0.00002633,0.00001388,10
6350.61666667,0.00002317,0.00002185,5
6350.64166667,0.00002246,0.00002285,5
6351.48333333,0.00000000,0.00001237,1
6352.12500000,0.00000000,0.00001929,1
6353.05833333,0.00000000,0.00002152,1
6356.74166667,0.00004842,0.00004402,5
6357.42500000,0.00005466,0.00004282,5
6357.43333333,0.00005401,0.00004224,5
6358.65000000,0.00010524,0.00005721,3
6360.00000000,0.00008521,0.00005309,3
6363.58333333,0.00002125,0.00000000,0
6363.90833333,0.00105992,0.00052213,2
6364.43333333,0.00004818,0.00000000,0
6365.00000000,0.00010266,0.00002586,4
6365.19166667,0.00007445,0.00006399,5
6367.20833333,0.00452801,0.00434212,5
6370.00000000,0.00026621,0.00012880,2
6370.20000000,0.00012070,0.00002916,4
6370.27500000,0.00009089,0.00000000,0
6370.42500000,0.00000000,0.00001372,1
6372.05833333,0.00002934,0.00002285,5
6372.07500000,0.00003163,0.00002169,3
6374.30000000,0.00000000,0.00001341,1
6374.81666667,0.00002048,0.00000000,0
6375.00000000,0.00164836,0.00072932,2
6375.16666667,0.00003752,0.00001628,2
6375.20000000,0.00003197,0.00000000,0
6376.35833333,0.00000000,0.00002113,1
6376.96666667,0.00000000,0.00004030,1
6379.23333333,0.00016136,0.00008733,3
6380.00000000,0.00083045,0.00060867,3
6382.75833333,0.00000000,0.00001709,1
6382.83333333,0.00000000,0.00001902,1
6383.24166667,0.00000000,0.00002736,1
6385.00000000,0.00022627,0.00010425,2
6386.72500000,0.00009354,0.00008433,5
6390.00000000,0.00005859,0.00010937,7
6393.25833333,0.00002556,0.00000000,0
6394.64166667,0.00002534,0.00002186,5
6395.00000000,0.00002816,0.00001561,3
6396.28333333,0.00000000,0.00001207,1
6396.35000000,0.00002722,0.00001849,3
6396.48333333,0.00032255,0.00025339,5
6396.74166667,0.00000000,0.00001676,1
6399.46666667,0.00005040,0.00004146,5
6400.00000000,0.00142256,0.00024209,4
6402.07500000,0.00003630,0.00000000,0
6403.50833333,0.00033864,0.00027600,5
6405.00000000,0.00005815,0.00006771,6
6406.25833333,0.00011143,0.00008864,5
6408.66666667,0.00002509,0.00000000,0
6410.00000000,0.00020813,0.00019024,5
6413.35000000,0.00000000,0.00001961,1
6415.30000000,0.00002600,0.00000000,0
6416.00833333,0.00000000,0.00001255,1
6417.90000000,0.00003525,0.00004216,6
6418.55000000,0.00002032,0.00000000,0
6420.00000000,0.00110235,0.00082741,3
6420.90000000,0.00002899,0.00003176,6
6425.00000000,0.00126245,0.00046339,2
6425.78333333,0.00000000,0.00002132,1
6430.00000000,0.00031679,0.00018788,3
6430.57500000,0.00000000,0.00001670,1
6433.80833333,0.00004042,0.00004878,6
6434.19166667,0.00070167,0.00001911,0
6435.00000000,0.00003868,0.00000000,0
6435.55833333,0.00011910,0.00010455,5
6435.77500000,0.00000000,0.00015821,1
6437.93333333,0.00000000,0.00001698,1
6440.00000000,0.00355678,0.00262340,3
6441.71666667,0.00004225,0.00004467,6
6445.00000000,0.00008279,0.00002969,2
6445.15833333,0.00000000,0.00001236,1
6445.31666667,0.00052733,0.00042963,5
6445.54166667,0.00000000,0.00001801,1
6445.95000000,0.00000000,0.00003031,1
6446.22500000,0.00000000,0.00001796,1
6447.10000000,0.00007956,0.00000000,0
6447.77500000,0.00000000,0.00001742,1
6450.00000000,0.00290136,0.00173282,3
6451.02500000,0.00000000,0.00001901,1
6451.03333333,0.00002038,0.00001868,5
6455.05833333,0.00003608,0.00001774,2
6455.08333333,0.00003173,0.00002002,3
6457.30833333,0.00000000,0.00001202,1
6460.00000000,0.00315702,0.00234641,3
6460.74166667,0.00000000,0.00003075,1
6465.00000000,0.00000000,0.00005218,1
6467.96666667,0.00000000,0.00003338,1
6468.07500000,0.00000000,0.00003524,1
6468.95000000,0.00007507,0.00000000,0
