freq,int_h2o,int_doh,cluster
6251.58333333,0.00000000,0.00002670,1
6252.83333333,0.00000000,0.00002333,1
6259.53333333,0.00000000,0.00014390,1
6259.76666667,0.00006199,0.00006296,5
6259.77500000,0.00006364,0.00006506,5
6260.00000000,0.00029159,0.00030845,5
6265.00000000,0.00000000,0.00003405,1
6267.55833333,0.00000000,0.00002174,1
6269.32500000,0.00092689,0.00083549,5
6269.33333333,0.00091660,0.00085489,5
6269.51666667,0.00000000,0.00002592,1
6269.53333333,0.00000000,0.00002443,1
6270.00000000,0.00006182,0.00013756,8
6275.00000000,0.00013570,0.00004034,2
6280.00000000,0.00033048,0.00041449,6
6285.00000000,0.00004916,0.00003155,4
6289.06666667,0.00006276,0.00004901,4
6289.07500000,0.00006295,0.00004806,4
6290.00000000,0.00013716,0.00010313,4
6294.99166667,0.00000000,0.00002325,1
6298.82500000,0.00012411,0.00012140,5
6298.83333333,0.00012299,0.00012282,5
6300.00000000,0.00260269,0.00491913,8
6305.00000000,0.00003500,0.00006631,8
6308.60833333,0.00005191,0.00005603,5
6310.00000000,0.00013934,0.00016685,5
6315.00000000,0.00000000,0.00002340,1
6315.41666667,0.00101615,0.00043391,3
6320.00000000,0.00064331,0.00027127,3
6323.22500000,0.00000000,0.00003667,1
6323.25000000,0.00000000,0.00004002,1
6325.00000000,0.00068080,0.00079028,5
6328.12500000,0.00004115,0.00003551,4
6329.70000000,0.00000000,0.00002153,1
6330.00000000,0.00015230,0.00007154,3
6332.68333333,0.00014087,0.00005752,3
6335.22500000,0.00014143,0.00009274,4
6337.90000000,0.00007262,0.00006132,4
6340.00000000,0.00009308,0.00034421,9
6344.66666667,0.00036675,0.00020372,3
6345.00000000,0.00005806,0.00007285,6
6347.66666667,0.00011581,0.00009966,4
6347.67500000,0.00011725,0.00009829,4
6349.27500000,0.00000000,0.00002320,1
6349.83333333,0.00006932,0.00005833,4
6350.00000000,0.00306343,0.00283419,5
6350.26666667,0.00000000,0.00002399,1
6350.29166667,0.00000000,0.00002633,1
6350.61666667,0.00003394,0.00002317,4
6350.64166667,0.00000000,0.00002246,1
6356.74166667,0.00018290,0.00004842,2
6357.42500000,0.00004182,0.00005466,6
6357.43333333,0.00004262,0.00005401,6
6358.02500000,0.00009965,0.00000000,0
6358.65000000,0.00000000,0.00010524,1
6360.00000000,0.00028535,0.00008521,2
6363.58333333,0.00000000,0.00002125,1
6363.90833333,0.00183980,0.00105992,3
6364.43333333,0.00000000,0.00004818,1
6364.63333333,0.00016175,0.00000000,0
6365.00000000,0.00011213,0.00010266,5
6365.19166667,0.00000000,0.00007445,1
6366.54166667,0.00004056,0.00000000,0
6367.20833333,0.00685684,0.00452801,4
6370.00000000,0.00008423,0.00026621,9
6370.20000000,0.00028703,0.00012070,3
6370.27500000,0.00022026,0.00009089,3
6372.05833333,0.00000000,0.00002934,1
6372.07500000,0.00000000,0.00003163,1
6374.62500000,0.00003333,0.00000000,0
6374.81666667,0.00000000,0.00002048,1
6375.00000000,0.00079030,0.00164836,8
6375.16666667,0.00000000,0.00003752,1
6375.20000000,0.00004319,0.00003197,4
6376.96666667,0.00006050,0.00000000,0
6379.23333333,0.00036306,0.00016136,3
6380.00000000,0.00093302,0.00083045,5
6381.14166667,0.00003455,0.00000000,0
6383.24166667,0.00006178,0.00000000,0
6385.00000000,0.00008568,0.00022627,9
6386.72500000,0.00011689,0.00009354,4
6390.00000000,0.00008379,0.00005859,4
6393.25833333,0.00004719,0.00002556,3
6393.70000000,0.00009045,0.00000000,0
6394.64166667,0.00024886,0.00002534,0
6395.00000000,0.00000000,0.00002816,1
6396.35000000,0.00003281,0.00002722,4
6396.48333333,0.00032889,0.00032255,5
6399.46666667,0.00039072,0.00005040,0
6400.00000000,0.00148965,0.00142256,5
6402.07500000,0.00000000,0.00003630,1
6403.50833333,0.00189368,0.00033864,7
6403.80000000,0.00020971,0.00000000,0
6404.01666667,0.00005113,0.00000000,0
6405.00000000,0.00008860,0.00005815,4
6405.27500000,0.00003530,0.00000000,0
6406.25833333,0.00013176,0.00011143,4
6408.66666667,0.00000000,0.00002509,1
6410.00000000,0.00022334,0.00020813,5
6415.30000000,0.00000000,0.00002600,1
6417.65000000,0.00003953,0.00000000,0
6417.90000000,0.00012022,0.00003525,2
6418.55000000,0.00000000,0.00002032,1
6420.00000000,0.00089246,0.00110235,6
6420.90000000,0.00000000,0.00002899,1
6425.00000000,0.00032561,0.00126245,9
6430.00000000,0.00018079,0.00031679,8
6430.57500000,0.00004275,0.00000000,0
6433.80833333,0.00000000,0.00004042,1
6434.19166667,0.00000000,0.00070167,1
6435.00000000,0.00000000,0.00003868,1
6435.55833333,0.00016063,0.00011910,4
6437.93333333,0.00006001,0.00000000,0
6440.00000000,0.00387929,0.00355678,5
6441.71666667,0.00020604,0.00004225,7
6445.00000000,0.00000000,0.00008279,1
6445.31666667,0.00073849,0.00052733,4
6445.73333333,0.00003312,0.00000000,0
6447.10000000,0.00000000,0.00007956,1
6450.00000000,0.00249896,0.00290136,5
6451.02500000,0.00026138,0.00000000,0
6451.03333333,0.00026486,0.00002038,0
6455.05833333,0.00000000,0.00003608,1
6455.08333333,0.00000000,0.00003173,1
6457.30833333,0.00011437,0.00000000,0
6457.80833333,0.00006627,0.00000000,0
6460.00000000,0.00323075,0.00315702,5
6468.95000000,0.00000000,0.00007507,1
6469.07500000,0.00000000,0.00002230,1
6469.70000000,0.00000000,0.00002289,1
6470.00000000,0.00023867,0.00033896,6
6470.58333333,0.00017815,0.00008096,3
6472.00833333,0.00000000,0.00002937,1
6473.85000000,0.00000000,0.00005877,1
6475.00000000,0.00030408,0.00020015,4
6475.72500000,0.00000000,0.00002587,1
6477.10000000,0.00013769,0.00002523,7
6480.00000000,0.00168487,0.00135374,4
6480.49166667,0.00005225,0.00002398,3
6483.33333333,0.00003401,0.00003069,5
6484.37500000,0.00014203,0.00007890,3
6485.00000000,0.00004265,0.00004491,5
6485.16666667,0.00000000,0.00002467,1
6485.58333333,0.00005193,0.00002115,3
6490.00000000,0.00082424,0.00079447,5
6491.36666667,0.00000000,0.00005821,1
6493.25000000,0.00000000,0.00002169,1
6493.97500000,0.00039852,0.00007906,7
6494.14166667,0.00011580,0.00013887,5
6494.59166667,0.00041238,0.00009733,2
6495.05000000,0.00000000,0.00006003,1
6497.42500000,0.00008182,0.00000000,0
6497.79166667,0.00008888,0.00002118,2
6498.20833333,0.00005447,0.00005832,5
6498.90833333,0.00006416,0.00000000,0
6499.33333333,0.00014003,0.00000000,0
6500.00000000,0.00178704,0.00056984,2
6503.25833333,0.00016751,0.00000000,0
6503.90000000,0.00000000,0.00002691,1
6504.55833333,0.00029488,0.00016460,3
6504.71666667,0.00007694,0.00005471,4
6505.00000000,0.00000000,0.00004172,1
6505.52500000,0.00007563,0.00000000,0
6506.22500000,0.00006030,0.00002254,2
6506.26666667,0.00006982,0.00002016,2
6506.30833333,0.00008153,0.00000000,0
6506.91666667,0.00041787,0.00005888,0
6510.00000000,0.00057246,0.00044573,4
6510.42500000,0.00111669,0.00052253,3
6510.85000000,0.00025914,0.00003701,0
6511.04166667,0.00000000,0.00001973,1
6512.50000000,0.00005654,0.00009778,13
6514.99166667,0.00000000,0.00003006,1
6520.00000000,0.00306298,0.00270487,5
6524.01666667,0.00013109,0.00005408,3
6525.00000000,0.00059511,0.00079013,6
6525.91666667,0.00000000,0.00002069,1
6527.16666667,0.00009553,0.00000000,0
6527.17500000,0.00009455,0.00001981,7
6528.04166667,0.00037146,0.00006730,7
6529.71666667,0.00004420,0.00001981,3
6529.76666667,0.00007429,0.00000000,0
6530.00000000,0.00020842,0.00024449,5
6532.95000000,0.00000000,0.00001984,1
6533.19166667,0.00003348,0.00004253,6
6533.62500000,0.00006127,0.00000000,0
6538.05000000,0.00000000,0.00005755,1
6538.50833333,0.00017708,0.00000000,0
6539.59166667,0.00004200,0.00000000,0
6540.00000000,0.00230792,0.00207223,5
