freq,int_h2o,int_doh,int_d2o
7572.5500,0.0002,0.0000,0.0001
7572.6500,0.0001,0.0000,0.0000
7573.0833,0.0274,0.0051,0.0052
7573.2750,0.0004,0.0000,0.0000
7574.8917,0.0124,0.0068,0.0072
7575.0583,0.0002,0.0001,0.0001
7575.3500,0.0000,0.0000,0.0000
7575.5250,0.0000,0.0000,0.0000
7575.5333,0.0000,0.0000,0.0000
7575.9750,0.0018,0.0012,0.0012
7579.2667,0.0012,0.0001,0.0001
7580.0000,0.0017,0.0001,0.0013
7580.4750,0.0008,0.0002,0.0002
7581.2583,0.0001,0.0000,0.0000
7590.4750,0.0003,0.0001,0.0001
7591.6000,0.0001,0.0000,0.0000
7591.6833,0.0001,0.0000,0.0000
7592.2667,0.0004,0.0001,0.0000
7592.2750,0.0004,0.0001,0.0000
7594.7083,0.0004,0.0002,0.0001
7595.0417,0.0001,0.0000,0.0000
7600.0000,0.0015,0.0001,0.0007
7602.0083,0.0000,0.0000,0.0000
7607.1667,0.0001,0.0000,0.0000
7607.2167,0.0002,0.0000,0.0000
7607.2417,0.0002,0.0000,0.0000
7607.3667,0.0002,0.0000,0.0000
7610.4000,0.0001,0.0000,0.0000
7610.4417,0.0001,0.0000,0.0000
7613.4250,0.0002,0.0001,0.0000
7616.0083,0.0004,0.0001,0.0001
7619.2083,0.0001,0.0000,0.0000
7620.0000,0.0020,0.0001,0.0016
7621.8000,0.0001,0.0001,0.0000
7629.2250,0.0010,0.0002,0.0001
7630.4250,0.0008,0.0004,0.0003
7636.7167,0.0002,0.0001,0.0001
7640.0000,0.0017,0.0001,0.0014
7648.5250,0.0003,0.0000,0.0000
7648.5500,0.0004,0.0000,0.0000
7650.0000,0.0020,0.0001,0.0013
7657.5083,0.2888,0.0425,0.0668
7657.7167,0.0002,0.0000,0.0000
7660.0000,0.0015,0.0001,0.0012
7664.9833,0.0003,0.0001,0.0001
7666.9167,0.0006,0.0001,0.0000
7668.8000,0.0002,0.0000,0.0000
7669.6417,0.0002,0.0001,0.0000
7670.8250,0.0003,0.0002,0.0001
7670.8333,0.0003,0.0002,0.0001
7675.0000,0.0004,0.0000,0.0001
7676.7667,0.0001,0.0000,0.0001
7676.8000,0.0001,0.0000,0.0000
7680.0000,0.0016,0.0002,0.0013
7685.5500,0.0001,0.0000,0.0000
7695.5833,0.0005,0.0000,0.0000
7696.6167,0.0001,0.0000,0.0000
7696.6250,0.0001,0.0000,0.0000
7700.0000,0.0020,0.0004,0.0012
7720.0000,0.0015,0.0002,0.0011
7740.0000,0.0013,0.0003,0.0011
7755.6583,0.0017,0.0006,0.0008
7760.0000,0.0012,0.0002,0.0009
7764.7167,0.0002,0.0001,0.0001
7764.9917,0.0000,0.0000,0.0000
7766.3500,0.0004,0.0001,0.0001
7768.7833,0.0002,0.0000,0.0000
7770.0083,0.0001,0.0000,0.0001
7775.0000,0.0005,0.0001,0.0002
7780.0000,0.0010,0.0002,0.0009
7790.0000,0.0001,0.0000,0.0001
7798.5500,0.0004,0.0002,0.0001
7800.0000,0.0011,0.0001,0.0010
7810.0000,0.0001,0.0000,0.0001
7820.0000,0.0007,0.0002,0.0006
7822.2250,0.0001,0.0000,0.0000
7830.0000,0.0001,0.0000,0.0001
7834.2500,0.0024,0.0006,0.0005
7840.0000,0.0007,0.0002,0.0005
7848.7917,0.0002,0.0000,0.0000
7860.0000,0.0007,0.0002,0.0006
7868.4417,0.0000,0.0000,0.0000
7874.3250,0.0003,0.0001,0.0000
7874.3667,0.0002,0.0000,0.0000
7874.9917,0.0007,0.0006,0.0003
7880.0000,0.0008,0.0003,0.0006
7890.0000,0.0001,0.0001,0.0001
7900.0000,0.0006,0.0004,0.0002
7905.0000,0.0001,0.0000,0.0000
7910.0000,0.0002,0.0000,0.0002
7914.1250,0.0013,0.0006,0.0005
7920.0000,0.0006,0.0003,0.0005
7925.0000,0.0003,0.0001,0.0001
7930.0000,0.0001,0.0000,0.0001
7940.0000,0.0008,0.0003,0.0005
7947.2083,0.0003,0.0001,0.0001
7948.1417,0.0001,0.0000,0.0000
7950.0000,0.0005,0.0003,0.0002
7954.1667,0.0004,0.0002,0.0001
7954.1750,0.0004,0.0002,0.0001
7955.3417,0.0004,0.0001,0.0000
7960.0000,0.0007,0.0003,0.0005
7965.1333,0.0001,0.0000,0.0000
7967.4917,0.0026,0.0020,0.0016
7971.4167,0.0005,0.0000,0.0000
7974.4083,0.0005,0.0000,0.0000
7975.0000,0.0001,0.0001,0.0001
7975.1667,0.0006,0.0001,0.0001
7975.1750,0.0006,0.0001,0.0001
7980.0000,0.0007,0.0003,0.0007
7985.0000,0.0001,0.0001,0.0001
7988.3000,0.0006,0.0001,0.0001
8000.0000,0.0007,0.0005,0.0005
8005.0000,0.0002,0.0001,0.0002
8007.8083,0.0001,0.0001,0.0001
8010.0000,0.0002,0.0001,0.0001
8020.0000,0.0007,0.0003,0.0006
8026.8917,0.0002,0.0000,0.0000
