freq,int_h2o,int_d2o,cluster
6425.00000000,0.00032561,0.00046339,17
6430.00000000,0.00018079,0.00018788,14
6430.57500000,0.00004275,0.00001670,2
6435.55833333,0.00016063,0.00010455,7
6437.93333333,0.00006001,0.00001698,1
6440.00000000,0.00387929,0.00262340,15
6441.71666667,0.00020604,0.00004467,0
6445.31666667,0.00073849,0.00042963,7
6450.00000000,0.00249896,0.00173282,8
6451.02500000,0.00026138,0.00001901,5
6451.03333333,0.00026486,0.00001868,5
6457.30833333,0.00011437,0.00001202,5
6460.00000000,0.00323075,0.00234641,8
6470.00000000,0.00023867,0.00019922,10
6470.58333333,0.00017815,0.00009486,6
6475.00000000,0.00030408,0.00021257,8
6477.10000000,0.00013769,0.00001796,3
6480.00000000,0.00168487,0.00121471,8
6480.49166667,0.00005225,0.00003222,7
6483.33333333,0.00003401,0.00002433,8
6484.37500000,0.00014203,0.00005685,2
6485.00000000,0.00004265,0.00005882,17
6490.00000000,0.00082424,0.00062423,8
6493.97500000,0.00039852,0.00006196,3
6494.14166667,0.00011580,0.00010585,11
6494.59166667,0.00041238,0.00008366,0
6497.42500000,0.00008182,0.00002554,1
6497.79166667,0.00008888,0.00002443,1
6500.00000000,0.00178704,0.00130551,8
6504.55833333,0.00029488,0.00009537,1
6506.22500000,0.00006030,0.00002269,2
6506.26666667,0.00006982,0.00002562,2
6506.30833333,0.00008153,0.00002376,1
6506.91666667,0.00041787,0.00005690,3
6510.00000000,0.00057246,0.00036567,7
6510.42500000,0.00111669,0.00044338,2
6510.85000000,0.00025914,0.00004140,3
6512.50000000,0.00005654,0.00003803,15
6520.00000000,0.00306298,0.00222187,8
6524.01666667,0.00013109,0.00005250,2
6525.00000000,0.00059511,0.00012427,0
6528.04166667,0.00037146,0.00004842,3
6529.71666667,0.00004420,0.00002886,7
6529.76666667,0.00007429,0.00003239,4
6530.00000000,0.00020842,0.00009876,4
6533.19166667,0.00003348,0.00002178,7
6540.00000000,0.00230792,0.00158495,8
6542.96666667,0.00021715,0.00018105,10
6542.97500000,0.00021858,0.00017890,10
6544.95000000,0.00003749,0.00002695,8
6547.87500000,0.00049778,0.00017800,2
6550.00000000,0.00152822,0.00051733,2
6552.72500000,0.00003891,0.00001963,6
6552.73333333,0.00003890,0.00001932,6
6555.91666667,0.00018742,0.00002766,3
6560.00000000,0.00123990,0.00095299,8
6564.21666667,0.00025805,0.00005473,0
6564.30000000,0.00012706,0.00005498,4
6564.33333333,0.00015372,0.00005159,16
