freq,int_h2o,int_d2o,cluster
4907.95374000,0.00009486,0.00010444,1
4908.56171000,0.00002188,0.00002386,1
4910.46906000,0.00007129,0.00001120,13
4911.93533000,0.00007063,0.00005533,2
4913.06782000,0.00550525,0.00027423,3
4913.07974000,0.00548106,0.00027440,3
4923.62976000,0.00001422,0.00001882,6
4925.11988000,0.00001542,0.00003170,10
4925.13180000,0.00001549,0.00002950,10
4925.62056000,0.00161959,0.00003700,3
4925.68016000,0.00048023,0.00005372,13
4927.55175000,0.00002676,0.00001694,5
4928.17163000,0.00015493,0.00016379,1
4930.99689000,0.00007442,0.00001318,13
4943.49003000,0.00276488,0.00013218,3
4946.04111000,0.00001395,0.00001550,1
4947.00670000,0.00003296,0.00002829,0
4971.06314000,0.00139660,0.00007575,3
4971.07506000,0.00137014,0.00007662,3
4984.54571000,0.00017269,0.00016767,1
4993.64138000,0.00006199,0.00007130,4
4994.13013000,0.00011527,0.00012044,1
4994.80963000,0.00009396,0.00010495,4
4998.94619000,0.00001524,0.00001744,4
4999.99523000,0.00008644,0.00008254,1
5005.55038000,0.00026713,0.00001463,3
5015.67125000,0.00003477,0.00001084,17
5016.13617000,0.00006088,0.00021674,9
5016.21962000,0.00001631,0.00002983,10
5027.65179000,0.00016901,0.00050443,9
5030.04789000,0.00047509,0.00043835,0
5053.88975000,0.00001311,0.00053673,19
5063.00926000,0.00007681,0.00001121,13
5063.91525000,0.00003574,0.00001603,18
5077.66008000,0.00090234,0.00084205,0
5079.15020000,0.00002020,0.00005176,12
5088.01937000,0.00030156,0.00001849,3
5088.03129000,0.00028664,0.00001883,3
5088.19818000,0.00009505,0.00006899,2
5092.21554000,0.00002260,0.00001587,2
5092.22746000,0.00002199,0.00001598,2
5112.81490000,0.00222641,0.00004216,3
5119.90786000,0.00001529,0.00001183,2
5126.95312000,0.00001496,0.00001093,2
5130.36251000,0.00002444,0.00002057,0
5145.01333000,0.00002873,0.00003303,4
5145.07294000,0.00005515,0.00004549,0
5163.02586000,0.00003129,0.00011219,9
5170.66717000,0.00001822,0.00001893,1
5170.67909000,0.00001832,0.00002128,4
5177.84357000,0.00005416,0.00002681,8
5177.92702000,0.00025036,0.00023066,0
5178.26080000,0.00001372,0.00001606,4
5178.28465000,0.00002009,0.00002140,1
5178.35617000,0.00001494,0.00001178,2
5184.12590000,0.00002649,0.00002831,1
5210.57844000,0.00001788,0.00006948,14
5210.66189000,0.00003496,0.00010145,9
5216.07399000,0.00002179,0.00001551,2
5216.08591000,0.00002301,0.00001668,2
5221.12846000,0.00005110,0.00001908,11
5242.89608000,0.00019680,0.00001310,3
5246.86575000,0.00001846,0.00001142,5
5251.89638000,0.00002406,0.00002108,0
5255.04351000,0.00001442,0.00001494,1
5257.96413000,0.00006940,0.00007404,1
5258.64363000,0.00001387,0.00001200,0
5276.57270000,0.00037485,0.00032279,0
5276.58463000,0.00039195,0.00033596,0
5282.09209000,0.00001949,0.00002815,6
5284.34515000,0.00003376,0.00003183,0
5287.44459000,0.00001828,0.00001308,2
5299.17479000,0.00337065,0.00006264,3
5304.01468000,0.00001619,0.00001276,2
5306.70881000,0.00003017,0.00002553,0
5306.73265000,0.00003274,0.00002055,5
5309.12876000,0.00001497,0.00002761,10
5311.70368000,0.00004672,0.00001632,11
5312.50238000,0.00030151,0.00053665,15
5315.06538000,0.00076249,0.00001573,3
5316.40053000,0.00018850,0.00019235,1
5318.41516000,0.00001826,0.00002615,6
5318.42709000,0.00001934,0.00002670,6
5318.54630000,0.00002620,0.00002496,1
5319.39268000,0.00045704,0.00002285,3
5323.88687000,0.00047715,0.00043407,0
5325.16241000,0.00002594,0.00001951,2
