Frequency,Intensity
2.114224430000000211e+03,1.228327130000000028e-05
2.114474769999999808e+03,8.997796990000000791e-06
2.114868159999999989e+03,1.264746199999999983e-05
2.115201950000000124e+03,1.352192809999999995e-05
2.116334440000000086e+03,9.067892930000000435e-06
2.117335799999999836e+03,1.320708779999999994e-05
2.117657659999999851e+03,1.085314070000000016e-05
2.117979530000000068e+03,1.392545010000000059e-05
2.119219300000000203e+03,9.075723060000000415e-06
2.120780940000000101e+03,8.773742660000000544e-06
2.121031280000000152e+03,8.643408720000000410e-06
2.121174340000000029e+03,8.676808509999999405e-06
2.121317390000000159e+03,2.463695290000000128e-05
2.121508119999999963e+03,1.406639439999999971e-05
2.121675009999999929e+03,8.959277740000000067e-06
2.121818069999999807e+03,1.024037789999999927e-05
2.121949200000000019e+03,2.460106689999999875e-05
2.122068409999999858e+03,9.505354720000000577e-06
2.122163770000000113e+03,1.066226280000000012e-05
2.122271060000000034e+03,3.687042199999999873e-05
2.122521400000000085e+03,1.421454860000000014e-05
2.122640609999999924e+03,1.639586350000000017e-05
2.122735979999999927e+03,1.042730279999999924e-05
2.122926710000000185e+03,1.320879779999999928e-05
2.123117450000000190e+03,1.040357239999999963e-05
2.123272419999999784e+03,1.056472749999999922e-05
2.123606200000000172e+03,1.042555250000000067e-05
2.123725410000000011e+03,1.169236080000000017e-05
2.123820780000000013e+03,1.552706759999999847e-05
2.124023439999999937e+03,3.011943400000000135e-05
2.124273779999999988e+03,1.208793570000000025e-05
2.124559879999999794e+03,1.204915599999999940e-05
2.124667170000000169e+03,8.872848939999999218e-06
2.124834060000000136e+03,9.099919389999999296e-06
2.125000950000000103e+03,8.938895070000000200e-06
2.125120159999999942e+03,1.130353750000000036e-05
2.125239369999999781e+03,1.843603139999999888e-05
2.125334739999999783e+03,1.560767609999999894e-05
2.125525470000000041e+03,1.143024860000000038e-05
2.125668529999999919e+03,1.080658789999999974e-05
2.125823499999999967e+03,8.535535700000000176e-06
2.125966550000000097e+03,8.396574649999999522e-06
2.126252649999999903e+03,1.273015469999999926e-05
2.126383780000000115e+03,1.601804799999999941e-05
2.126646040000000085e+03,1.102708180000000074e-05
2.126932139999999890e+03,1.494723240000000044e-05
2.127015589999999975e+03,1.022636420000000062e-05
2.127206329999999980e+03,2.269402140000000045e-05
2.127301689999999780e+03,1.122433189999999951e-05
2.127408980000000156e+03,8.215687109999999155e-06
2.127492429999999786e+03,1.065704330000000057e-05
2.127611640000000079e+03,3.059737459999999797e-05
2.127897739999999885e+03,2.385800270000000100e-05
2.128028870000000097e+03,1.970832380000000147e-05
2.128207679999999982e+03,1.114861269999999935e-05
2.128350730000000112e+03,1.333276090000000053e-05
2.128589149999999790e+03,2.102807199999999954e-05
2.128744130000000041e+03,1.060240059999999997e-05
2.128839489999999842e+03,1.403288229999999968e-05
2.129137520000000222e+03,9.639026019999999474e-06
2.129447459999999865e+03,8.387629599999999759e-06
2.129590509999999995e+03,1.291925720000000072e-05
2.129733560000000125e+03,9.325776610000000209e-06
2.129936220000000048e+03,9.640532179999999698e-06
2.130198480000000018e+03,1.224581720000000027e-05
2.130496500000000196e+03,1.461883419999999924e-05
2.130675319999999829e+03,2.044495410000000070e-05
2.130866050000000087e+03,2.234461000000000018e-05
2.131056790000000092e+03,1.268597960000000071e-05
2.131187919999999849e+03,1.383224890000000024e-05
2.131509779999999864e+03,1.034061569999999950e-05
2.132141590000000178e+03,9.208377080000000505e-06
2.132463459999999941e+03,2.183400769999999837e-05
2.132833000000000084e+03,1.360062080000000077e-05
2.132999899999999798e+03,1.535565470000000148e-05
2.133297919999999976e+03,1.111927019999999989e-05
2.133500579999999900e+03,1.966498879999999894e-05
2.133691310000000158e+03,1.732993009999999853e-05
2.133882050000000163e+03,1.430233590000000047e-05
2.134108540000000175e+03,1.869637279999999900e-05
2.134382720000000063e+03,1.394026859999999977e-05
2.134490009999999984e+03,1.893595059999999915e-05
2.134633060000000114e+03,1.015989280000000005e-05
2.134764189999999871e+03,1.595988620000000105e-05
2.135038379999999961e+03,1.689736189999999964e-05
2.135288720000000012e+03,1.757039229999999996e-05
2.135539049999999861e+03,9.774003679999999729e-06
2.135741709999999784e+03,2.048092949999999972e-05
2.135849000000000160e+03,2.364349830000000090e-05
2.136075499999999920e+03,1.930020129999999952e-05
