freq,cluster
4752.7194,24
7496.55962,11
6600.22497,8
6020.35522,4
2889.47821,11
5170.67909,12
7170.61758,12
6176.67437,21
4753.04127,18
4659.16395,16
5508.88777,11
3300.78602,11
5586.43341,18
5683.3744,0
5914.19935,1
6480.14545,0
5979.38299,13
5826.21098,1
5571.1031,11
4663.58662,11
3720.4504,9
5712.04424,4
3347.75448,11
3689.31293,11
3124.79734,9
6515.20491,2
5379.76027,11
3218.22166,8
7219.12384,11
4631.87695,6
5367.9347,3
7381.66571,9
6362.99849,1
3677.91653,1
6906.25906,8
7181.06031,12
6800.47274,21
6677.40107,8
6390.58352,13
6090.10458,13
6569.60011,1
6939.73303,11
7033.74147,11
2935.96983,9
6610.56042,11
5492.44881,11
6351.1014,7
4375.00477,14
6363.42764,16
4062.49762,8
5323.88687,11
5555.7251,11
5498.45695,11
5184.1259,12
7020.31851,9
6354.09355,12
3640.8186,8
7405.91288,11
7206.77376,11
7841.46786,8
5404.01936,8
6783.65231,11
6704.55694,0
6077.76642,13
5370.83149,0
3668.06984,6
6806.3736,3
7433.06875,1
5637.87222,3
7861.16123,6
7898.77176,8
4845.52383,9
5622.9353,11
7899.17707,8
5413.00774,11
6691.18166,9
7210.11162,12
3704.58364,9
6458.80699,14
6702.9953,0
5581.91538,6
7727.56338,13
3124.76158,9
7405.81751,8
5216.08591,9
7034.12294,9
6524.45555,14
7206.98833,7
3262.12645,9
7449.73421,2
3837.99076,9
6545.71056,0
7033.97989,9
3704.48828,11
2830.58882,12
4780.67398,18
3704.53596,12
7035.55346,9
7138.91983,12
7032.52554,11
6455.791,12
4471.14706,8
5733.65688,11
3748.57187,9
4036.20005,8
6402.83823,12
6994.93885,3
6336.10487,15
2929.9736,12
3813.8032,15
4516.22009,1
6058.32338,13
7870.39995,12
6621.36078,12
6393.49222,14
6122.04075,14
3646.21878,0
6533.34856,18
7358.7656,23
4440.46259,12
4653.06044,9
6463.70649,6
5053.88975,24
3575.53959,9
7228.35064,11
4871.5353,0
7207.11946,9
4862.64229,11
5304.01468,9
5959.47504,1
6395.38765,20
3750.00238,4
5636.64436,8
5556.20193,11
6754.83942,9
6418.18047,20
6859.56478,18
3630.9123,11
6768.63194,16
4704.46348,12
5498.24238,0
5556.10657,7
7404.33931,11
6931.18572,11
7898.98634,9
7407.71294,12
3351.11618,9
6287.71782,6
4537.42743,11
6601.54819,12
4631.81734,18
4736.59039,9
6329.72717,6
5983.74605,11
4806.26822,11
4446.43497,11
3057.99246,11
