!Params
!Apodization=Kaiser
!Apodization Beta=6.0
!Band (MHz)=2000.0,8000.0
!Frequency Start (MHz)=2000.0
!Frequency Stop (MHz)=8000.0
!Gate Length (us)=20.0
!Gate Start (us)=0.0
!Normalization Reference Frequency (MHz)=2000.0
!Normalization Scale=1.0
!Normalization Slope (1/MHz)=0.000137
!Zero Pad=2
!Data
!FFT
freq	int_so2	int_water	int_deu
6393.03923	0.00004	0.00007	0.00000
7054.87728	0.00005	0.00007	0.00000
7355.39198	0.00006	0.00024	0.00000
5352.13947	0.00001	0.00008	0.00000
5640.30409	0.00005	0.00024	0.00000
5936.36036	0.00006	0.00022	0.00000
7960.92749	0.00001	0.00002	0.00000
4611.64713	0.00002	0.00016	0.00000
7282.31668	0.00001	0.00005	0.00000
3500.87881	0.00001	0.00005	0.00000
3151.02339	0.00006	0.00011	0.00000
3703.55844	0.00004	0.00005	0.00000
6719.70844	0.00002	0.00005	0.00000
7240.15236	0.00003	0.00006	0.00000
6721.06743	0.00002	0.00016	0.00000
5362.72526	0.00002	0.00003	0.00000
7350.83818	0.00002	0.00004	0.00000
6718.17064	0.00002	0.00003	0.00000
7411.69453	0.00002	0.00002	0.00000
2265.62023	0.00001	0.00002	0.00000
7335.51979	0.00007	0.00009	0.00000
2265.63215	0.00001	0.00002	0.00000
3491.92619	0.00001	0.00002	0.00000
3615.51046	0.00001	0.00002	0.00000
7501.17302	0.00001	0.00024	0.00000
3564.63194	0.00013	0.00017	0.00000
3310.53734	0.00002	0.00002	0.00000
6548.14243	0.00001	0.00003	0.00000
7645.45202	0.00002	0.00003	0.00000
5989.52770	0.00002	0.00004	0.00000
7353.83034	0.00001	0.00003	0.00000
6564.92710	0.00002	0.00021	0.00000
6897.15147	0.00003	0.00003	0.00000
7642.45987	0.00002	0.00006	0.00000
6868.32666	0.00002	0.00003	0.00000
6340.45601	0.00003	0.00005	0.00000
5156.60048	0.00004	0.00006	0.00000
5551.00441	0.00002	0.00002	0.00000
4645.39528	0.00002	0.00002	0.00000
4994.38047	0.00001	0.00003	0.00000
5926.14412	0.00004	0.00009	0.00000
7181.20337	0.00002	0.00003	0.00000
6569.64779	0.00002	0.00010	0.00000
6895.49446	0.00005	0.00023	0.00000
3310.51350	0.00002	0.00002	0.00000
6370.97359	0.00009	0.00015	0.00000
5558.88414	0.00001	0.00002	0.00000
6480.21698	0.00002	0.00012	0.00000
4132.37810	0.00002	0.00014	0.00000
2377.27165	0.00001	0.00014	0.00000
4396.39091	0.00001	0.00003	0.00000
6410.08615	0.00003	0.00004	0.00000
6916.73756	0.00001	0.00004	0.00000
5854.96426	0.00003	0.00004	0.00000
6557.29771	0.00004	0.00008	0.00000
7763.87453	0.00001	0.00004	0.00000
6429.92258	0.00002	0.00009	0.00000
