freq,int_water,int_deu,cluster
2650.67816000,0.00001842,0.00000000,0
2652.32325000,0.00001912,0.00000000,0
2652.94313000,0.00002962,0.00000000,0
2654.51670000,0.00006912,0.00000000,0
2657.35388000,0.00001979,0.00000000,0
2657.73535000,0.00001867,0.00000000,0
2658.97512000,0.00000000,0.00000000,0
2659.22546000,0.00000000,0.00000000,0
2663.21898000,0.00000000,0.00000000,0
2665.55548000,0.00000000,0.00000000,0
2674.38889000,0.00001821,0.00000000,0
2674.65115000,0.00002350,0.00000000,0
2675.58098000,0.00002063,0.00000000,0
2675.84324000,0.00002025,0.00000000,0
2676.54657000,0.00000000,0.00000000,0
2681.36263000,0.00000000,0.00000000,0
2682.73354000,0.00000000,0.00000000,0
2683.88987000,0.00001938,0.00000000,0
2685.03428000,0.00000000,0.00000000,0
2685.53495000,0.00000000,0.00000000,0
2686.96547000,0.00000000,0.00000000,0
2687.89530000,0.00000000,0.00000000,0
2692.10339000,0.00000000,0.00000000,0
2695.31012000,0.00000000,0.00000000,0
2698.68374000,0.00005521,0.00000000,0
2705.01375000,0.00000000,0.00000000,0
2705.77669000,0.00002096,0.00000000,0
2708.02975000,0.00004300,0.00000000,0
2708.25624000,0.00000000,0.00000000,0
2709.04303000,0.00000000,0.00000000,0
2709.36489000,0.00000000,0.00000000,0
2709.75828000,0.00004086,0.00000000,0
2710.48546000,0.00000000,0.00000000,0
2711.67755000,0.00000000,0.00000000,0
2712.98885000,0.00004841,0.00000000,0
2716.18366000,0.00000000,0.00000000,0
2717.23270000,0.00000000,0.00000000,0
2718.01949000,0.00000000,0.00000000,0
2721.44079000,0.00003489,0.00000000,0
2722.82362000,0.00000000,0.00000000,0
2723.58656000,0.00000000,0.00000000,0
2723.65808000,0.00000000,0.00000000,0
2725.35086000,0.00000000,0.00000000,0
2726.14956000,0.00000000,0.00000000,0
2728.91521000,0.00000000,0.00000000,0
2730.30996000,0.00008105,0.00000000,0
2731.39477000,0.00000000,0.00000000,0
2732.86104000,0.00004889,0.00004007,14
2733.79087000,0.00000000,0.00000000,0
2734.38692000,0.00000000,0.00000000,0
2735.38828000,0.00000000,0.00000000,0
2741.95671000,0.00000000,0.00000000,0
2744.59124000,0.00000000,0.00000000,0
2754.03261000,0.00080355,0.00004202,0
2754.81939000,0.00005534,0.00000000,0
2756.07109000,0.00000000,0.00000000,0
2757.14397000,0.00000000,0.00000000,0
2758.78906000,0.00000000,0.00000000,0
2759.08709000,0.00088145,0.00003803,0
2761.99579000,0.00021964,0.00000000,0
2763.67664000,0.00001918,0.00000000,0
2764.14156000,0.00003449,0.00000000,0
2765.10715000,0.00000000,0.00000000,0
2770.14971000,0.00000000,0.00000000,0
2770.40005000,0.00000000,0.00000000,0
2776.57509000,0.00004881,0.00000000,0
2779.99640000,0.00010069,0.00000000,0
2782.45211000,0.00025017,0.00000000,0
2783.20312000,0.00000000,0.00000000,0
2783.40578000,0.00004772,0.00000000,0
2786.46946000,0.00002961,0.00000000,0
2796.81683000,0.00004450,0.00000000,0
2803.62368000,0.00001989,0.00000000,0
2812.50477000,0.00089610,0.00070271,13
2815.54461000,0.00000000,0.00000000,0
2828.46689000,0.00000000,0.00000000,0
2829.65899000,0.00000000,0.00000000,0
2836.03668000,0.00010468,0.00000000,0
2840.03019000,0.00007305,0.00000000,0
2841.48455000,0.00019431,0.00016910,14
2843.05811000,0.00005851,0.00000000,0
2844.56015000,0.00003047,0.00000000,0
2845.15619000,0.00007128,0.00000000,0
2846.07410000,0.00019931,0.00000000,0
2846.08603000,0.00020091,0.00000000,0
2848.11258000,0.00000000,0.00000000,0
2852.79751000,0.00000000,0.00000000,0
2854.49028000,0.00000000,0.00000000,0
2857.38707000,0.00000000,0.00000000,0
2858.55532000,0.00000000,0.00000000,0
2858.97255000,0.00000000,0.00000000,0
2862.31041000,0.00003548,0.00000000,0
2868.47353000,0.00000000,0.00000000,0
2869.86828000,0.00000000,0.00000000,0
2870.07093000,0.00000000,0.00000000,0
2870.44048000,0.00000000,0.00000000,0
2871.51337000,0.00000000,0.00000000,0
2871.94252000,0.00000000,0.00000000,0
2872.16902000,0.00000000,0.00000000,0
2873.01540000,0.00003646,0.00000000,0
2874.60089000,0.00000000,0.00000000,0
2874.87507000,0.00000000,0.00000000,0
2877.24733000,0.00000000,0.00000000,0
2877.62880000,0.00000000,0.00000000,0
2882.89785000,0.00000000,0.00000000,0
2884.57870000,0.00000000,0.00000000,0
2886.12843000,0.00000000,0.00000000,0
2887.04634000,0.00006663,0.00000000,0
2890.62262000,0.00003530,0.00002347,12
2893.75782000,0.00007295,0.00006574,14
2894.80686000,0.00002801,0.00000000,0
2901.45874000,0.00006705,0.00005095,13
2912.11605000,0.00000000,0.00000000,0
2913.01012000,0.00000000,0.00000000,0
2913.14125000,0.00061873,0.00000000,0
2913.32006000,0.00101360,0.00002210,0
2913.34391000,0.00082992,0.00001872,0
2915.95459000,0.00002631,0.00000000,0
2917.21821000,0.00000000,0.00000000,0
2917.33742000,0.00002479,0.00000000,0
2917.63544000,0.00000000,0.00000000,0
2919.05403000,0.00000000,0.00000000,0
2920.34149000,0.00002196,0.00000000,0
2920.79449000,0.00002264,0.00000000,0
2920.96138000,0.00002789,0.00000000,0
2922.65415000,0.00001805,0.00000000,0
2925.58670000,0.00002211,0.00000000,0
2932.66773000,0.00003416,0.00002165,12
2933.77638000,0.00000000,0.00000000,0
2934.01480000,0.00000000,0.00000000,0
2934.62276000,0.00000000,0.00000000,0
2935.34994000,0.00000000,0.00000000,0
2935.96983000,0.00012814,0.00010225,13
2936.68509000,0.00000000,0.00000000,0
2939.45074000,0.00002429,0.00001874,13
2939.72492000,0.00000000,0.00000000,0
2940.10639000,0.00000000,0.00000000,0
2944.07606000,0.00000000,0.00000000,0
2944.99397000,0.00004885,0.00000000,0
2946.10262000,0.00000000,0.00000000,0
2947.73579000,0.00002591,0.00000000,0
2950.33455000,0.00002726,0.00000000,0
2950.73986000,0.00002171,0.00000000,0
2950.91867000,0.00000000,0.00000000,0
2951.01404000,0.00000000,0.00000000,0
2954.11348000,0.00000000,0.00000000,0
2955.32942000,0.00004023,0.00002822,12
2957.45134000,0.00000000,0.00000000,0
2957.64208000,0.00008600,0.00000000,0
2958.29773000,0.00000000,0.00000000,0
2958.98914000,0.00002354,0.00000000,0
2961.65943000,0.00000000,0.00000000,0
2967.72718000,0.00000000,0.00000000,0
2967.79871000,0.00004352,0.00000000,0
2969.68222000,0.00000000,0.00000000,0
2970.74318000,0.00001944,0.00000000,0
2970.95776000,0.00003243,0.00000000,0
2971.70877000,0.00002704,0.00000000,0
2971.93527000,0.00002401,0.00000000,0
2973.83070000,0.00000000,0.00000000,0
2976.03607000,0.00000000,0.00000000,0
2978.50370000,0.00000000,0.00000000,0
2978.93286000,0.00000000,0.00000000,0
2979.26664000,0.00003498,0.00001971,11
2979.27856000,0.00003371,0.00002016,11
2982.42569000,0.00000000,0.00000000,0
2982.80716000,0.00000000,0.00000000,0
2984.98869000,0.00016644,0.00000000,0
2988.50536000,0.00001947,0.00000000,0
2988.71994000,0.00002124,0.00000000,0
2988.92260000,0.00004405,0.00000000,0
2989.20870000,0.00003017,0.00000000,0
2989.98356000,0.00002898,0.00000000,0
2992.40351000,0.00000000,0.00000000,0
2998.05403000,0.00000000,0.00000000,0
2998.44742000,0.00011600,0.00000000,0
2999.19844000,0.00000000,0.00000000,0
2999.41301000,0.00016484,0.00014544,14
3000.65279000,0.00000000,0.00000000,0
3004.67014000,0.00002501,0.00000000,0
3005.00393000,0.00017919,0.00015376,14
3006.47020000,0.00012457,0.00000000,0
3007.81727000,0.00002724,0.00000000,0
3008.87823000,0.00000000,0.00000000,0
3011.91807000,0.00000000,0.00000000,0
3013.38434000,0.00002383,0.00000000,0
3014.60028000,0.00042668,0.00035870,14
3014.96983000,0.00000000,0.00000000,0
3015.58971000,0.00000000,0.00000000,0
3016.99638000,0.00000000,0.00000000,0
3017.84277000,0.00000000,0.00000000,0
3023.61250000,0.00002688,0.00000000,0
3024.72115000,0.00000000,0.00000000,0
3025.48409000,0.00000000,0.00000000,0
3025.66290000,0.00000000,0.00000000,0
3026.36623000,0.00000000,0.00000000,0
3027.15302000,0.00000000,0.00000000,0
3027.34375000,0.00000000,0.00000000,0
3030.45511000,0.00001954,0.00000000,0
3031.99291000,0.00000000,0.00000000,0
3032.83930000,0.00000000,0.00000000,0
3034.79433000,0.00002310,0.00000000,0
3035.02083000,0.00000000,0.00000000,0
3041.16011000,0.00051195,0.00000000,0
3042.38796000,0.00000000,0.00000000,0
3042.49525000,0.00000000,0.00000000,0
3045.70198000,0.00000000,0.00000000,0
3045.85695000,0.00000000,0.00000000,0
3046.00000000,0.00000000,0.00000000,0
3046.88215000,0.00000000,0.00000000,0
3048.41995000,0.00000000,0.00000000,0
3048.57492000,0.00000000,0.00000000,0
3052.68764000,0.00002314,0.00000000,0
3053.11680000,0.00000000,0.00000000,0
3055.52483000,0.00000000,0.00000000,0
3055.69172000,0.00000000,0.00000000,0
3055.77517000,0.00001813,0.00000000,0
3056.63347000,0.00002143,0.00001917,14
3057.99246000,0.00003771,0.00003250,14
3063.22575000,0.00000000,0.00000000,0
3064.09597000,0.00000000,0.00000000,0
3064.93044000,0.00000000,0.00000000,0
3065.83643000,0.00000000,0.00000000,0
3066.70666000,0.00002175,0.00000000,0
3066.73050000,0.00002343,0.00000000,0
3066.83779000,0.00005467,0.00004557,14
3068.07756000,0.00000000,0.00000000,0
3068.20869000,0.00004753,0.00004233,14
3068.70937000,0.00000000,0.00000000,0
3071.96379000,0.00007226,0.00000000,0
3072.57175000,0.00000000,0.00000000,0
3075.13475000,0.00000000,0.00000000,0
3077.30436000,0.00000000,0.00000000,0
3077.55470000,0.00000000,0.00000000,0
3080.01041000,0.00000000,0.00000000,0
3081.05946000,0.00000000,0.00000000,0
3084.99336000,0.00012838,0.00000000,0
3089.03456000,0.00000000,0.00000000,0
3093.61219000,0.00000000,0.00000000,0
3095.71028000,0.00000000,0.00000000,0
3102.33831000,0.00135190,0.00116631,14
3105.46160000,0.00002771,0.00000000,0
3107.03516000,0.00002535,0.00001802,13
3107.27358000,0.00003885,0.00000000,0
3108.95443000,0.00001932,0.00000000,0
3109.18093000,0.00000000,0.00000000,0
3112.72144000,0.00003478,0.00000000,0
