Frequency,Intensity_water,Intensity_so2,ratio_w/so2
2545.7859,0.0000149596561,0.0000368627629,0.40582026205094895
2559.30424,0.0000922918913,0.0000160872945,5.736942983172217
2580.4162,0.0000101795803,8.84859192e-6,1.1504180995161093
2604.78258,0.0000103803463,9.16561066e-6,1.1325318830420406
2616.02402,0.0000156674239,0.0000136587551,1.1470608986905402
2621.4242,9.15112475e-6,9.36269806e-6,0.9774025277068479
2623.26002,0.0000340954934,0.000136272513,0.25020081195684707
2623.74878,0.0000191394188,9.05459331e-6,2.1137800610947592
2623.87991,0.0000100162738,0.0000121133808,0.8268768203836208
2626.62172,9.41900396e-6,9.6234025e-6,0.9787602628072556
2626.93167,0.0000146094173,0.0000271931864,0.5372455101473508
2627.635,9.94298794e-6,0.0000123337001,0.8061642377699778
2628.17144,0.0000212259458,8.46999231e-6,2.506017127658998
