Frequency,Intensity
2.155709269999999833e+03,1.464789270000000017e-05
2.156007290000000012e+03,0.000000000000000000e+00
2.156126499999999851e+03,1.457699850000000043e-05
2.156269549999999981e+03,0.000000000000000000e+00
2.156353000000000065e+03,0.000000000000000000e+00
2.156579490000000078e+03,1.228232600000000042e-05
2.156698699999999917e+03,1.174563590000000003e-05
2.156901359999999841e+03,2.378459399999999951e-05
2.157080170000000180e+03,0.000000000000000000e+00
2.157247069999999894e+03,2.100608580000000051e-05
2.157676219999999830e+03,1.117715049999999991e-05
2.157926559999999881e+03,2.114892640000000097e-05
2.158975600000000213e+03,1.572391939999999872e-05
2.159225939999999810e+03,0.000000000000000000e+00
2.159583569999999781e+03,1.085470609999999928e-05
2.159786219999999958e+03,1.781854649999999943e-05
2.159893509999999878e+03,0.000000000000000000e+00
2.160120010000000093e+03,8.312638250000000303e-06
2.160370350000000144e+03,1.431238900000000030e-05
2.160418029999999817e+03,0.000000000000000000e+00
2.160549160000000029e+03,1.463729759999999936e-05
2.160787580000000162e+03,1.071905419999999945e-05
2.160882950000000164e+03,1.952532709999999969e-05
2.161002160000000003e+03,8.296742260000000103e-06
2.161371709999999894e+03,0.000000000000000000e+00
2.161574360000000070e+03,0.000000000000000000e+00
2.161860470000000078e+03,1.914506209999999834e-05
2.162158489999999802e+03,4.709406360000000207e-05
2.162289620000000014e+03,1.153019019999999934e-05
2.162563799999999901e+03,1.233883190000000044e-05
2.162897590000000037e+03,0.000000000000000000e+00
2.163076399999999921e+03,0.000000000000000000e+00
2.163267139999999927e+03,0.000000000000000000e+00
2.163553240000000187e+03,1.479372099999999944e-05
2.163791659999999865e+03,2.773768880000000044e-05
2.163898940000000039e+03,0.000000000000000000e+00
2.163994310000000041e+03,0.000000000000000000e+00
2.164149280000000090e+03,1.171261710000000008e-05
2.164351940000000013e+03,1.029816589999999947e-05
2.164542680000000018e+03,1.295982350000000011e-05
2.164661880000000110e+03,8.773339920000000316e-06
2.164781089999999949e+03,0.000000000000000000e+00
2.164936070000000200e+03,1.429226040000000071e-05
2.165019510000000082e+03,1.279756450000000048e-05
2.165114880000000085e+03,0.000000000000000000e+00
2.165246009999999842e+03,2.551235599999999952e-05
2.165579799999999977e+03,1.520255489999999938e-05
2.165782450000000154e+03,1.609656890000000129e-05
2.165961269999999786e+03,0.000000000000000000e+00
2.166080469999999877e+03,1.253885229999999968e-05
2.166187759999999798e+03,0.000000000000000000e+00
2.166390420000000177e+03,0.000000000000000000e+00
2.166497710000000097e+03,0.000000000000000000e+00
2.166724209999999857e+03,1.695465930000000150e-05
2.167010310000000118e+03,9.838347090000000670e-06
2.167141439999999875e+03,8.857339559999999391e-06
2.167320250000000215e+03,9.467845040000000126e-06
2.167725559999999859e+03,0.000000000000000000e+00
2.167963979999999992e+03,2.436379890000000108e-05
2.168142800000000079e+03,1.097161110000000015e-05
2.168393140000000130e+03,1.214010989999999994e-05
2.168571950000000015e+03,1.310634879999999934e-05
