freq,cluster
6375.15783,5
2122.27106,12
6469.03515,14
4998.94619,5
5969.73896,0
5177.92702,0
7033.57458,1
6255.43594,23
6364.25018,27
4168.66541,10
7496.71459,12
4736.0301,1
4678.17783,3
6394.97042,15
4449.33176,1
6217.40818,30
6353.91474,9
4670.8703,27
6756.19841,3
5432.96337,15
6730.04389,30
6774.47319,12
7142.78221,27
5866.96863,3
3703.475,14
3689.1818,31
4713.24921,3
5255.04351,2
7405.68638,0
7290.12489,2
5996.97828,27
2187.50238,29
6936.63359,20
6061.22017,5
6628.27492,4
6743.86024,38
3229.9757,12
7432.97338,22
2841.48455,4
5027.65179,15
5555.5582,1
7595.07418,1
6926.17893,1
5088.03129,10
6088.01842,9
7021.62981,3
6654.38175,7
6762.19463,6
2792.97829,0
7303.89357,12
4409.8258,5
7525.28906,6
4881.88267,16
6164.00242,0
7226.37177,3
7206.5711,1
6498.18182,11
5364.2869,1
7153.61834,32
3788.48314,3
7071.49506,6
5505.62143,4
7373.54755,8
7162.9405,5
5775.61855,2
3320.43171,12
6396.31748,2
6021.70229,7
7035.47001,1
3311.97977,2
7264.37569,0
7018.62574,14
5872.9291,12
5079.1502,16
6287.14561,19
6364.69126,31
6406.77214,27
2621.55533,5
5702.82936,17
6669.64054,3
6359.77983,2
4657.38773,2
4911.93533,1
3920.49551,14
5446.29097,2
4994.13013,2
4884.8033,21
6405.30586,22
5813.67016,2
4737.57982,0
3966.00962,37
3659.54638,0
7715.11793,28
7851.61257,6
3124.7139,0
2893.36443,2
6033.57553,37
7076.06077,5
7164.40678,19
3532.89843,22
6340.36064,6
6558.87127,25
6464.48135,6
6337.42809,19
5622.64919,5
7404.13666,20
6215.76309,17
6910.8367,0
4947.0067,4
2136.06358,21
5361.6643,2
4644.96613,22
7640.92207,3
4752.76709,30
5970.08467,1
4109.62105,6
4736.39965,1
7291.90111,2
3674.7694,1
6307.1847,2
6777.25077,10
7206.78568,1
7190.08446,
3674.79324,1
5672.60981,4
5311.70368,31
7493.59131,6
6756.00767,5
5489.15863,12
7197.89267,33
3124.66621,12
4735.94666,4
4193.13908,12
6012.67815,11
5363.21402,11
7402.6227,8
3704.44059,2
6168.80655,36
5325.16241,23
3826.55859,4
6361.71103,2
3721.7617,1
4277.6823,4
6792.72413,3
3232.40757,2
3515.61308,2
6754.5414,8
7404.04129,37
6434.36909,1
3752.92301,0
3704.39291,3
5869.84158,1
4734.87377,0
7008.09956,14
4796.70763,18
6754.67253,3
5683.38633,10
5177.84357,28
5548.02418,0
4485.86941,10
5555.88007,4
6470.83521,26
7405.57909,3
4783.36811,1
3048.94447,0
5711.99656,29
5948.73428,0
5586.40957,21
4736.30428,1
6138.55124,17
5367.92278,14
6756.34146,0
5911.15952,1
5475.6999,13
6528.50866,32
